港澳频道-,#genre#
民视新闻,http://iptv.4666888.xyz/iptv2.php?id=109
公视,http://iptv.4666888.xyz/iptv2.php?id=107
民视,http://iptv.4666888.xyz/iptv2.php?id=108
台视,http://iptv.4666888.xyz/iptv2.php?id=113
城市电视,http://iptv.4666888.xyz/iptv2.php?id=180
中旺电视,http://iptv.4666888.xyz/iptv2.php?id=181
寰宇新财经,http://iptv.4666888.xyz/iptv2.php?id=124
台视财经,http://iptv.4666888.xyz/iptv2.php?id=115
中视经典,http://iptv.4666888.xyz/iptv2.php?id=103
民视影剧,http://iptv.4666888.xyz/iptv2.php?id=110
民视旅游,http://iptv.4666888.xyz/iptv2.php?id=111
民视综艺,http://iptv.4666888.xyz/iptv2.php?id=112
台视综合,http://iptv.4666888.xyz/iptv2.php?id=114
华艺中文,http://iptv.4666888.xyz/iptv2.php?id=156
东森超视34.5,http://iptv.4666888.xyz/iptv2.php?id=125
东森美洲,http://iptv.4666888.xyz/iptv2.php?id=126
东森中国,http://iptv.4666888.xyz/iptv2.php?id=127
东森超视,http://iptv.4666888.xyz/iptv2.php?id=128
东森电影,http://iptv.4666888.xyz/iptv2.php?id=15
东森洋片,http://iptv.4666888.xyz/iptv2.php?id=16
东森LIVE,http://iptv.4666888.xyz/iptv2.php?id=140
八八第一,http://iptv.4666888.xyz/iptv2.php?id=143
八大精彩,http://iptv.4666888.xyz/iptv2.php?id=144
TVBS精彩,http://iptv.4666888.xyz/iptv2.php?id=146
TVBS欢乐,http://iptv.4666888.xyz/iptv2.php?id=147
三立都会,http://iptv.4666888.xyz/iptv2.php?id=137
三立综合,http://iptv.4666888.xyz/iptv2.php?id=138
三立国际,http://iptv.4666888.xyz/iptv2.php?id=139
taiwan+,http://iptv.4666888.xyz/iptv2.php?id=159
EYETV旅游,http://iptv.4666888.xyz/iptv2.php?id=160
EYETV戏剧,http://iptv.4666888.xyz/iptv2.php?id=161
爱尔达日韩,http://iptv.4666888.xyz/iptv2.php?id=162
爱尔达影剧,http://iptv.4666888.xyz/iptv2.php?id=163
爱尔达综合,http://iptv.4666888.xyz/iptv2.php?id=164
爱尔达娱乐,http://iptv.4666888.xyz/iptv2.php?id=165
爱尔达生活旅游,http://iptv.4666888.xyz/iptv2.php?id=166
靖天综合,http://iptv.4666888.xyz/iptv2.php?id=148
靖天日本,http://iptv.4666888.xyz/iptv2.php?id=149
靖天卡通,http://iptv.4666888.xyz/iptv2.php?id=150
靖洋卡通,http://iptv.4666888.xyz/iptv2.php?id=151
靖天国际,http://iptv.4666888.xyz/iptv2.php?id=152
靖天育乐,http://iptv.4666888.xyz/iptv2.php?id=153
靖天映画,http://iptv.4666888.xyz/iptv2.php?id=154
靖天欢乐,http://iptv.4666888.xyz/iptv2.php?id=155
HakkATV客家,http://iptv.4666888.xyz/iptv2.php?id=169
TITV原住民,http://iptv.4666888.xyz/iptv2.php?id=170
MTV live,http://iptv.4666888.xyz/iptv2.php?id=171
猪哥亮哥厅秀,http://iptv.4666888.xyz/iptv2.php?id=173
国兴卫视,http://iptv.4666888.xyz/iptv2.php?id=130
momo亲子,http://iptv.4666888.xyz/iptv2.php?id=129
MytvZooMoo,http://iptv.4666888.xyz/iptv2.php?id=1
Nickeledeon,http://iptv.4666888.xyz/iptv2.php?id=2
MytvNickJr,http://iptv.4666888.xyz/iptv2.php?id=3
ifunanime,http://iptv.4666888.xyz/iptv2.php?id=4
DreamWorks,http://iptv.4666888.xyz/iptv2.php?id=184
探索频道,http://iptv.4666888.xyz/iptv2.php?id=185
LUXE TV,http://iptv.4666888.xyz/iptv2.php?id=157
体育频道-,#genre#
智林体育,http://iptv.4666888.xyz/iptv2.php?id=58
Z频道,http://iptv.4666888.xyz/iptv2.php?id=167
GINXEsportsTV,http://iptv.4666888.xyz/iptv2.php?id=49
爱尔达体育1,http://iptv.4666888.xyz/iptv2.php?id=45
爱尔达体育2,http://iptv.4666888.xyz/iptv2.php?id=46
爱尔达体育3,http://iptv.4666888.xyz/iptv2.php?id=47
爱尔达体育4,http://iptv.4666888.xyz/iptv2.php?id=48
搏斯运动1,http://iptv.4666888.xyz/iptv2.php?id=50
搏斯运动2,http://iptv.4666888.xyz/iptv2.php?id=51
搏斯高球1,http://iptv.4666888.xyz/iptv2.php?id=52
搏斯高球2,http://iptv.4666888.xyz/iptv2.php?id=53
搏斯网球,http://iptv.4666888.xyz/iptv2.php?id=54
搏斯无限,http://iptv.4666888.xyz/iptv2.php?id=55
搏斯无限2,http://iptv.4666888.xyz/iptv2.php?id=56
搏斯魅力,http://iptv.4666888.xyz/iptv2.php?id=57
影视频道-,#genre#
天映经典,http://iptv.4666888.xyz/iptv2.php?id=77
天映经典,http://iptv.4666888.xyz/iptv2.php?id=78
PopC,http://iptv.4666888.xyz/iptv2.php?id=5
美亚电影国,http://iptv.4666888.xyz/iptv2.php?id=11
美亚电影粤,http://iptv.4666888.xyz/iptv2.php?id=12
中国电影,http://iptv.4666888.xyz/iptv2.php?id=13
采昌影剧,http://iptv.4666888.xyz/iptv2.php?id=168
公视戏剧,http://iptv.4666888.xyz/iptv2.php?id=106
壹电影,http://iptv.4666888.xyz/iptv2.php?id=120
龙华日韩,http://iptv.4666888.xyz/iptv2.php?id=131
龙华电影,http://iptv.4666888.xyz/iptv2.php?id=132
龙华戏剧,http://iptv.4666888.xyz/iptv2.php?id=133
龙华卡通,http://iptv.4666888.xyz/iptv2.php?id=135
龙华经典,http://iptv.4666888.xyz/iptv2.php?id=136
台湾戏剧,http://iptv.4666888.xyz/iptv2.php?id=116
台湾霹雳,http://iptv.4666888.xyz/iptv2.php?id=118
东森电影,http://iptv.4666888.xyz/iptv2.php?id=15
东森洋片,http://iptv.4666888.xyz/iptv2.php?id=16
台湾戏剧,http://iptv.4666888.xyz/iptv2.php?id=116
TVN,http://iptv.4666888.xyz/iptv2.php?id=17
KIX,http://iptv.4666888.xyz/iptv2.php?id=18
RockAction,http://iptv.4666888.xyz/iptv2.php?id=19
RockEntertainment,http://iptv.4666888.xyz/iptv2.php?id=20
AXN,http://iptv.4666888.xyz/iptv2.php?id=21
AnimaxC,http://iptv.4666888.xyz/iptv2.php?id=22
warnertv华纳,http://iptv.4666888.xyz/iptv2.php?id=23
cinemaxwj,http://iptv.4666888.xyz/iptv2.php?id=24
HBOHD,http://iptv.4666888.xyz/iptv2.php?id=25
amcmovies,http://iptv.4666888.xyz/iptv2.php?id=27
Thrill,http://iptv.4666888.xyz/iptv2.php?id=183
央视频道,#genre#
CCTV-1 综合,https://migu.188766.xyz/?migutoken=9c9400ac09d9e54b02286a89900fe33b&id=CCTV1&type=yy
CCTV-2 财经,https://migu.188766.xyz/?migutoken=7b90c47d1cdad2762c2ccab67c1e58b3&id=CCTV2&type=yy
CCTV-3 综艺,https://migu.188766.xyz/?migutoken=0b9aff294eece407cbbec6a59a9f87dc&id=CCTV3&type=yy
CCTV-4 中文国际,https://migu.188766.xyz/?migutoken=bd7cb77b4d0ed7d6e0ce2be49b848295&id=CCTV4&type=yy
CCTV-5 体育,https://migu.188766.xyz/?migutoken=c0e02c5ece80fb308e7eee50dfd8fc26&id=CCTV5&type=yy
CCTV-5+ 体育赛事,https://migu.188766.xyz/?migutoken=ba39d4dc6e98bb7fbf17662cd94bbb2c&id=CCTV5p&type=yy
CCTV-6 电影,https://migu.188766.xyz/?migutoken=4c36b337a2b03c6e8419f42d969517b2&id=CCTV6&type=yy
CCTV-7 国防军事,https://migu.188766.xyz/?migutoken=0a0df04a02c79e2e874b183a57a9f2c3&id=CCTV7&type=yy
CCTV-8 电视剧,https://migu.188766.xyz/?migutoken=3650afe74bf0fe603dcaabe5da2d53d4&id=CCTV8&type=yy
CCTV-9 纪录,https://migu.188766.xyz/?migutoken=cd942884c85b5455319aefdff64c4af7&id=CCTV9&type=yy
CCTV-10 科教,https://migu.188766.xyz/?migutoken=2f0103f760fed9e5455b716b24a7735f&id=CCTV10&type=yy
CCTV-11 戏曲,https://migu.188766.xyz/?migutoken=770c6a4cc17bb6cf0e7cffd40034b77e&id=CCTV11&type=yy
CCTV-12 社会与法,https://migu.188766.xyz/?migutoken=9857f9048330135d2640ad681bea2016&id=CCTV12&type=yy
CCTV-13 新闻,https://migu.188766.xyz/?migutoken=6b918f09e93cc1724467bf2fc6bb5a0e&id=CCTV13&type=yy
CCTV-14 少儿,https://migu.188766.xyz/?migutoken=c76f1a45687ff75725a1eb8f41395eea&id=CCTV14&type=yy
CCTV-15 音乐,https://migu.188766.xyz/?migutoken=c5cb3c9046baa7111e368f6319cb0b11&id=CCTV15&type=yy
CCTV-16 奥林匹克,https://migu.188766.xyz/?migutoken=f31b19a1f39a6be6c322813d318cb092&id=16&type=sz
CCTV-17 农业农村,https://migu.188766.xyz/?migutoken=625e0ee6c98664fd55f2823528f95f85&id=CCTV17&type=yy
CCTV-4 中文国际 欧洲,https://migu.188766.xyz/?migutoken=6d3be50f3efe8dff6470bc333a271cfe&id=CCTV4%E6%AC%A7%E6%B4%B2&type=yy
CCTV-4 中文国际 美洲,https://migu.188766.xyz/?migutoken=624c78f9f29648105b7e2518e54a2eb1&id=CCTV4%E7%BE%8E%E6%B4%B2&type=yy
卫视频道,#genre#
湖南卫视,https://migu.188766.xyz/?migutoken=04ca594e8861eed6cd9b363a0fcba26b&id=hunws_hd&type=sz
湖南卫视,https://migu.188766.xyz/?migutoken=892f69a6040a44b1b672e4c9ad82b4d3&id=hunws&type=sz
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
江苏卫视,https://migu.188766.xyz/?migutoken=de5c0308023423ea7bf3cfd89ce8db7e&id=%E6%B1%9F%E8%8B%8F%E5%8D%AB%E8%A7%86&type=yy
东方卫视,https://migu.188766.xyz/?migutoken=a5dae101049759c628a186dcaa898cb6&id=%E4%B8%9C%E6%96%B9%E5%8D%AB%E8%A7%86&type=yy
北京卫视,https://migu.188766.xyz/?migutoken=f882516ef3614837e5417b216a73cd07&id=bjws&type=sz
深圳卫视,https://migu.188766.xyz/?migutoken=71a9fcd9398ea98c5956cc3cb21028d1&id=szws&type=sz
东南卫视,https://migu.188766.xyz/?migutoken=6203c5090e46a900c2d98d90fea1af50&id=dnws_hd&type=sz
山东卫视,https://migu.188766.xyz/?migutoken=c54d8ccf80c82ab591bf83acbd454b6d&id=sdws_hd&type=sz
广东卫视,https://migu.188766.xyz/?migutoken=c80a791cd94fc044f995fe65f61ad976&id=%E5%B9%BF%E4%B8%9C%E5%8D%AB%E8%A7%86&type=yy
广东卫视,https://migu.188766.xyz/?migutoken=7c95b0f2cb3571f22cf720ccd0239b90&id=gdws&type=sz
安徽卫视,https://migu.188766.xyz/?migutoken=41464690afd7ef09325ca94c89b59610&id=ahws&type=sz
天津卫视,https://migu.188766.xyz/?migutoken=ac0c2c8ec4c69eee21251b0649d51e8e&id=tjws&type=sz
湖北卫视,https://migu.188766.xyz/?migutoken=bf9c8dd700381dc7477ffd348d9c664b&id=%E6%B9%96%E5%8C%97%E5%8D%AB%E8%A7%86&type=yy
辽宁卫视,https://migu.188766.xyz/?migutoken=4f1793f02246eefcfd702a9b9bd6dc65&id=lnws&type=sz
江西卫视,https://migu.188766.xyz/?migutoken=32a35bb11d8b529e68e4b2c2311b8feb&id=%E6%B1%9F%E8%A5%BF%E5%8D%AB%E8%A7%86&type=yy
河北卫视,https://migu.188766.xyz/?migutoken=e7fad312b80132973eaf2630093b9c02&id=hbws_hd&type=yy
黑龙江卫视,https://migu.188766.xyz/?migutoken=4001803b3bb77c34ede58ceea83e68f0&id=hljws&type=sz
重庆卫视,https://migu.188766.xyz/?migutoken=ec2a1a6f0ff8e56d070e33c4389fcbfe&id=cqws&type=sz
贵州卫视,https://migu.188766.xyz/?migutoken=812c288714d5b044bd779f2490f62df0&id=gzws&type=sz
吉林卫视,https://migu.188766.xyz/?migutoken=42c5f5460f105ab1ddc9d682e521003f&id=jlws&type=sz
四川卫视,https://migu.188766.xyz/?migutoken=4172b50e94503eb932f14109c143e4fa&id=scws&type=sz
海南卫视,https://migu.188766.xyz/?migutoken=a7fb0639ca49b74ff0dab2d634d0478f&id=hinws_hd&type=sz
河南卫视,https://migu.188766.xyz/?migutoken=133c7208fdc6b8b9900f729726cd4863&id=%E6%B2%B3%E5%8D%97%E5%8D%AB%E8%A7%86&type=yy
广西卫视,https://migu.188766.xyz/?migutoken=39b8443be999c81b0bdfdba6ba4629f5&id=gxws&type=sz
山西卫视,https://migu.188766.xyz/?migutoken=a951c3048bf7a38598eda010cebd7906&id=sxws&type=sz
云南卫视,https://migu.188766.xyz/?migutoken=992a1bf2e2268853069a9a36cb6f683e&id=ynws&type=sz
陕西卫视,https://migu.188766.xyz/?migutoken=1d1ed299ba5922cae40d2e9fc76d14f0&id=%E9%99%95%E8%A5%BF%E5%8D%AB%E8%A7%86&type=yy
内蒙古卫视,https://migu.188766.xyz/?migutoken=657d4dd9d33a18358a91bc071128a7da&id=nmws_hd&type=yy
甘肃卫视,https://migu.188766.xyz/?migutoken=4745c2c62d447e6221154ce7189a18bf&id=gsws&type=sz
宁夏卫视,https://migu.188766.xyz/?migutoken=c4dc8d5ba86b582a67f4146af2aaf463&id=nxws_hd&type=sz
青海卫视,https://migu.188766.xyz/?migutoken=03720fa0c722684500cd071589e23ca7&id=qhws&type=sz
新疆卫视,https://migu.188766.xyz/?migutoken=0510d20f731c4c17e3966897c666f863&id=xjws_hd&type=sz
西藏卫视,https://migu.188766.xyz/?migutoken=c9f72391368665caa15228b8eb127356&id=xzws_hd&type=sz
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
大湾区卫视,https://migu.188766.xyz/?migutoken=0b29b3ce3223f2a11904cb6eb981c54f&id=%E5%A4%A7%E6%B9%BE%E5%8C%BA%E5%8D%AB%E8%A7%86&type=yy
数字频道,#genre#
CHC家庭影院,https://migu.188766.xyz/?migutoken=a11820afeaf718f65f017c138a68775e&id=chcjt_hd&type=sz
CHC动作电影,https://migu.188766.xyz/?migutoken=b98deb3e38bb7aa1066bc6c81be0cbb8&id=chcdz_hd&type=sz
CHC影迷电影,https://migu.188766.xyz/?migutoken=4ea6f413e25109bc9844a2f7fe9b4f2f&id=CHC%E5%BD%B1%E8%BF%B7%E7%94%B5%E5%BD%B1&type=yy
五星体育,https://migu.188766.xyz/?migutoken=1e4af8788f77d68a29cf18448dd55dbc&id=%E4%BA%94%E6%98%9F%E4%BD%93%E8%82%B2&pp=1
五星体育,https://gdcucc.v1.mk/gdcucc/wxty.m3u8
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
东方影视,https://migu.188766.xyz/?migutoken=389a8f80f4689055778e33cdc7a9d85b&id=%E4%B8%8A%E8%A7%86%E4%B8%9C%E6%96%B9%E5%BD%B1%E8%A7%86&type=yy
新片放映厅,https://migu.188766.xyz/?migutoken=9ffd8f13b1f374199ba2e3641e0cfa1d&id=%E6%96%B0%E7%89%87%E6%94%BE%E6%98%A0%E5%8E%85&type=yy
高清大片,https://migu.188766.xyz/?migutoken=d0022b60389da037af607248dce36f55&id=%E9%AB%98%E6%B8%85%E5%A4%A7%E7%89%87&type=yy
经典香港电影,https://migu.188766.xyz/?migutoken=81cfc070a327ff9a05e37fa081a0afda&id=%E7%BB%8F%E5%85%B8%E9%A6%99%E6%B8%AF%E7%94%B5%E5%BD%B1&type=yy
抗战经典影片,https://migu.188766.xyz/?migutoken=eee8d7aea88bec5cefcaa66e0a0c7381&id=%E6%8A%97%E6%88%98%E7%BB%8F%E5%85%B8%E5%BD%B1%E7%89%87&type=yy
掼蛋精英赛,https://migu.188766.xyz/?migutoken=3f5d764176d5565c76171325dce0db73&id=%E6%8E%BC%E8%9B%8B%E7%B2%BE%E8%8B%B1%E8%B5%9B&type=yy
赛事最经典,https://migu.188766.xyz/?migutoken=43ec63b67f9f5f7afcdf0f662dc88982&id=%E8%B5%9B%E4%BA%8B%E6%9C%80%E7%BB%8F%E5%85%B8&type=yy
四海钓鱼,https://migu.188766.xyz/?migutoken=67cff662ec9a177ccab68fe5f4d07e70&id=%E5%9B%9B%E6%B5%B7%E9%92%93%E9%B1%BC&type=yy
最强综艺趴,https://migu.188766.xyz/?migutoken=53fc398b22e68b98dfd5982f2c4cd3e8&id=%E6%9C%80%E5%BC%BA%E7%BB%BC%E8%89%BA%E8%B6%B4&type=yy
嘉佳卡通,https://migu.188766.xyz/?migutoken=6497e39b01c8a048dd8f6b6b0287b5b1&id=%E5%98%89%E4%BD%B3%E5%8D%A1%E9%80%9A&type=yy
经典动画大集合,https://migu.188766.xyz/?migutoken=77bf6c688815e5bc9db934c42b49f5eb&id=%E7%BB%8F%E5%85%B8%E5%8A%A8%E7%94%BB%E5%A4%A7%E9%9B%86%E5%90%88&type=yy
优漫卡通,https://migu.188766.xyz/?migutoken=e961a00f002ba4d92763a8dd61722e0b&id=%E4%BC%98%E6%BC%AB%E5%8D%A1%E9%80%9A%E9%A2%91%E9%81%93&type=yy
财富天下,https://migu.188766.xyz/?migutoken=dc8c979186ab9b4358ad0c74374fef67&id=%E8%B4%A2%E5%AF%8C%E5%A4%A9%E4%B8%8B&type=yy
中学生,https://migu.188766.xyz/?migutoken=e1c372a224458441f265966f0c616a9f&id=%E4%B8%AD%E5%AD%A6%E7%94%9F&type=yy
体坛名栏汇,https://migu.188766.xyz/?migutoken=06fe9608e425bf8bcd01fedd70e6a5e3&id=%E4%BD%93%E5%9D%9B%E5%90%8D%E6%A0%8F%E6%B1%87&type=yy
咪咕24小时体育台,https://migu.188766.xyz/?migutoken=8f9181741864032803bd4cd044361128&id=%E5%92%AA%E5%92%9524%E5%B0%8F%E6%97%B6%E4%BD%93%E8%82%B2%E5%8F%B0&type=yy
CETV-1,https://migu.188766.xyz/?migutoken=f847150e65a989966ee0132d88a397bd&id=CETV1&type=yy
CETV-2,https://migu.188766.xyz/?migutoken=ac65c5de356ed1333bd9579672744362&id=CETV2&type=yy
CETV-4,https://migu.188766.xyz/?migutoken=c4eea1cf6663facbda20528b837d74bb&id=CETV4&type=yy
新动力量创一流,https://migu.188766.xyz/?migutoken=94df3251ee8a4d91d32c83d48abbd9b5&id=%E6%96%B0%E5%8A%A8%E5%8A%9B%E9%87%8F%E5%88%9B%E4%B8%80%E6%B5%81&type=yy
钱塘江,https://migu.188766.xyz/?migutoken=da9f761af72b7a936545bc358e05dda7&id=%E9%92%B1%E5%A1%98%E6%B1%9F&type=yy
地方频道,#genre#
卡酷少儿,https://migu.188766.xyz/?migutoken=2a9377897815a7170bd1f0bd035cab8c&id=%E5%8C%97%E4%BA%AC%E5%8D%A1%E9%85%B7%E5%B0%91%E5%84%BF&type=yy
北京影视,https://migu.188766.xyz/?migutoken=75341773e0f83d30d7511651672c001e&id=%E5%8C%97%E4%BA%AC%E5%BD%B1%E8%A7%86&type=yy
北京文艺,https://migu.188766.xyz/?migutoken=65ec0a2c4266cd7fd470a36901e12b0b&id=%E5%8C%97%E4%BA%AC%E6%96%87%E8%89%BA&type=yy
北京财经,https://migu.188766.xyz/?migutoken=2ec19b8604ebf9ce1090994cbb0369fd&id=%E5%8C%97%E4%BA%AC%E8%B4%A2%E7%BB%8F&type=yy
北京生活,https://migu.188766.xyz/?migutoken=d38cb87b99b5d9f481e648d4cac19926&id=%E5%8C%97%E4%BA%ACi%E7%94%9F%E6%B4%BB&type=yy
北京新闻,https://migu.188766.xyz/?migutoken=c02cf257e97e6c23c3f40595a997d799&id=%E5%8C%97%E4%BA%AC%E6%96%B0%E9%97%BB&type=yy
北京体育休闲,https://migu.188766.xyz/?migutoken=294a5634d6fc16fbb69833d3a91a340a&id=%E5%8C%97%E4%BA%AC%E4%BD%93%E8%82%B2%E4%BC%91%E9%97%B2&type=yy
北京纪实科教,https://migu.188766.xyz/?migutoken=1bad0cff961984c54a569667bfa147cf&id=%E5%8C%97%E4%BA%AC%E7%BA%AA%E5%AE%9E%E7%A7%91%E6%95%99&type=yy
河南梨园,https://migu.188766.xyz/?migutoken=d9b52c432d171973445e90c910648e0a&id=%E6%A2%A8%E5%9B%AD%E9%A2%91%E9%81%93&type=yy
河南新闻,https://migu.188766.xyz/?migutoken=73665636ea454014a94a61f080910488&id=%E6%96%B0%E9%97%BB%E9%A2%91%E9%81%93&type=yy
河南都市,https://migu.188766.xyz/?migutoken=ebc9a956e0ffddbae6b8405940293c69&id=%E9%83%BD%E5%B8%82%E9%A2%91%E9%81%93&type=yy
河南民生,https://migu.188766.xyz/?migutoken=f5f4c9169ae3eda2ee3f023d92e4306e&id=%E6%B0%91%E7%94%9F%E9%A2%91%E9%81%93&type=yy
河南电视剧,https://migu.188766.xyz/?migutoken=72f2eee12523ae144d33b5795df7e2f7&id=%E7%94%B5%E8%A7%86%E5%89%A7%E9%A2%91%E9%81%93&type=yy
河南公共,https://migu.188766.xyz/?migutoken=e2502a99be6c0c7504dd9159bc3e8eed&id=%E5%85%AC%E5%85%B1%E9%A2%91%E9%81%93&type=yy
河南法治,https://migu.188766.xyz/?migutoken=62a191c195c752a560c2efc0ed314196&id=%E6%B3%95%E6%B2%BB%E9%A2%91%E9%81%93&type=yy
河南武术,https://migu.188766.xyz/?migutoken=6bfae7a4ca30a26f402adfe5ecbf998f&id=%E6%AD%A6%E6%9C%AF%E9%A2%91%E9%81%93&type=yy
河南睛彩中原,https://migu.188766.xyz/?migutoken=65152e07b284df772e24b522ce08a222&id=%E7%9D%9B%E5%BD%A9%E4%B8%AD%E5%8E%9F&type=yy
河南移动戏曲,https://migu.188766.xyz/?migutoken=c111e2d8be895ee94a524a6e9e9f8326&id=%E7%A7%BB%E5%8A%A8%E6%88%8F%E6%9B%B2%E9%A2%91%E9%81%93&type=yy
河南文物宝库,https://migu.188766.xyz/?migutoken=dc216d068838c34795aa1debadd36bad&id=%E6%96%87%E7%89%A9%E5%AE%9D%E5%BA%93&type=yy
河南象视界,https://migu.188766.xyz/?migutoken=1fec3752538e9bde4790863a452bfdcd&id=%E8%B1%A1%E8%A7%86%E7%95%8C&type=yy
上海新闻综合,https://migu.188766.xyz/?migutoken=85e0ba6cb9ef41a99e47501bb3ef6837&id=xwzh&type=sz
上海第一财经,https://migu.188766.xyz/?migutoken=3c8a49b34c1bb380b3b7c0e7ce113781&id=dycj&type=sz
上海第一财经,https://migu.188766.xyz/?migutoken=75d34956a2d636202a43a1a938e06b86&id=%E4%B8%8A%E6%B5%B7%E7%AC%AC%E4%B8%80%E8%B4%A2%E7%BB%8F&type=yy
上海新纪实,https://migu.188766.xyz/?migutoken=0a79722be00bdf96fe78beb7a34666e5&id=xjs&type=sz
上海都市,https://migu.188766.xyz/?migutoken=c122434fe87b289bf5e7bc7385e1f097&id=ds&type=sz
上海乐游,https://migu.188766.xyz/?migutoken=defe9b7a255365cd494a7134bf80fe68&id=ly&type=sz
上海魔都眼,https://migu.188766.xyz/?migutoken=7ae79bf3ddb005a2d936799d0cc057cb&id=mdy&type=sz
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
